epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.234,1.2342,2.57501,1.41546,0.56117,0.13605,0.16575,0.07371,1.4022,3.18241,1.61215,0.000653595,0.000653595,0.000653595
2,24.9417,1.39234,2.31185,1.56438,0.13578,0.27211,0.12511,0.05329,1.60032,3.13567,1.8728,0.00129412,0.00129412,0.00129412
3,31.1613,1.42682,2.27796,1.56313,0.12018,0.18367,0.07546,0.03174,1.79214,4.09745,2.0489,0.00190825,0.00190825,0.00190825
4,37.4333,1.44628,2.18083,1.59327,0.14936,0.2381,0.09444,0.0399,1.75019,3.71788,2.02789,0.0018812,0.0018812,0.0018812
5,43.6198,1.45842,2.11938,1.55359,0.14632,0.2517,0.11074,0.0481,1.78161,5.56694,2.02899,0.0018416,0.0018416,0.0018416
6,49.9446,1.4673,2.11631,1.59417,0.26101,0.2449,0.15888,0.07875,1.68332,3.11064,1.85803,0.001802,0.001802,0.001802
7,56.1105,1.44709,2.02235,1.56032,0.31308,0.35374,0.27406,0.14516,1.61607,2.34178,1.70036,0.0017624,0.0017624,0.0017624
8,62.4273,1.40183,1.92976,1.52799,0.43474,0.37415,0.34808,0.19542,1.51627,2.06952,1.63247,0.0017228,0.0017228,0.0017228
9,68.8459,1.40129,2.02374,1.54666,0.44222,0.45304,0.38112,0.21144,1.56048,2.27283,1.70402,0.0016832,0.0016832,0.0016832
10,75.1481,1.41447,1.91628,1.58724,0.38617,0.40136,0.35744,0.19951,1.55075,2.22341,1.71095,0.0016436,0.0016436,0.0016436
11,81.276,1.32901,1.77435,1.48306,0.51731,0.41497,0.4409,0.24442,1.51736,1.92552,1.66265,0.001604,0.001604,0.001604
12,87.4705,1.33263,1.72893,1.46626,0.4063,0.40968,0.40305,0.21974,1.46391,1.95512,1.59615,0.0015644,0.0015644,0.0015644
13,93.7552,1.30468,1.66028,1.46315,0.57857,0.38776,0.45492,0.27936,1.41934,1.85374,1.60176,0.0015248,0.0015248,0.0015248
14,100.15,1.23997,1.56785,1.42401,0.60411,0.44218,0.48934,0.3044,1.41062,1.7987,1.54387,0.0014852,0.0014852,0.0014852
15,106.408,1.27049,1.62774,1.44832,0.49997,0.55782,0.47122,0.29788,1.37133,1.86405,1.59232,0.0014456,0.0014456,0.0014456
16,112.605,1.24927,1.57011,1.41357,0.41441,0.4898,0.45357,0.28194,1.37228,1.76758,1.5492,0.001406,0.001406,0.001406
17,118.78,1.28767,1.59456,1.46373,0.48914,0.5102,0.47537,0.29179,1.4044,1.8331,1.57126,0.0013664,0.0013664,0.0013664
18,125.027,1.24311,1.5113,1.40934,0.56287,0.47619,0.50318,0.32183,1.33125,1.73295,1.52981,0.0013268,0.0013268,0.0013268
19,131.435,1.2185,1.51774,1.39484,0.41069,0.38095,0.33575,0.19072,1.46356,1.9259,1.59133,0.0012872,0.0012872,0.0012872
20,137.652,1.17552,1.45335,1.38691,0.43546,0.56148,0.49306,0.30966,1.32949,1.69535,1.51211,0.0012476,0.0012476,0.0012476
21,144.008,1.12833,1.41781,1.3299,0.48698,0.48431,0.45544,0.2754,1.37358,1.80012,1.52447,0.001208,0.001208,0.001208
22,150.299,1.17567,1.46964,1.37822,0.57727,0.4898,0.50756,0.33298,1.33718,1.6878,1.51382,0.0011684,0.0011684,0.0011684
23,156.584,1.10973,1.3471,1.32228,0.50549,0.5285,0.52141,0.35297,1.31778,1.65485,1.47779,0.0011288,0.0011288,0.0011288
24,162.818,1.09302,1.31409,1.31628,0.51954,0.55102,0.52998,0.34712,1.34603,1.6326,1.51949,0.0010892,0.0010892,0.0010892
25,169.149,1.07384,1.27083,1.29098,0.5143,0.55782,0.51979,0.34984,1.21964,1.67816,1.44523,0.0010496,0.0010496,0.0010496
26,175.472,1.07513,1.28789,1.29847,0.61478,0.53199,0.60406,0.38237,1.23666,1.49519,1.42282,0.00101,0.00101,0.00101
27,181.618,1.03966,1.30852,1.25085,0.67321,0.4966,0.5977,0.39445,1.21656,1.60263,1.43231,0.0009704,0.0009704,0.0009704
28,187.985,1.07104,1.19931,1.31798,0.56218,0.53741,0.54867,0.37435,1.20143,1.54616,1.44444,0.0009308,0.0009308,0.0009308
29,194.262,1.04985,1.28438,1.28729,0.5235,0.52381,0.54514,0.35472,1.19594,1.61997,1.42796,0.0008912,0.0008912,0.0008912
30,200.576,1.07072,1.17936,1.28971,0.53635,0.53741,0.53454,0.36159,1.25403,1.63261,1.49642,0.0008516,0.0008516,0.0008516
31,206.761,1.03826,1.18863,1.27658,0.72371,0.46331,0.57468,0.40517,1.16795,1.54066,1.3814,0.000812,0.000812,0.000812
32,213.045,1.00759,1.11854,1.25336,0.66786,0.53741,0.58278,0.40336,1.15055,1.57694,1.37635,0.0007724,0.0007724,0.0007724
33,219.332,0.98077,1.07585,1.22479,0.70388,0.57823,0.64923,0.43723,1.18471,1.43201,1.39564,0.0007328,0.0007328,0.0007328
34,225.657,0.95279,1.0395,1.20392,0.66345,0.5102,0.59795,0.43397,1.15648,1.48457,1.39,0.0006932,0.0006932,0.0006932
