epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.999,1.74625,2.00828,1.26896,0.82346,0.73784,0.81712,0.37167,1.73329,1.20841,1.24667,0.000554922,0.000554922,0.000554922
2,195.879,1.66821,1.29358,1.23444,0.8413,0.77459,0.84169,0.40191,1.68963,1.19749,1.26013,0.0010886,0.0010886,0.0010886
3,286.54,1.66053,1.17149,1.22362,0.86525,0.79046,0.86161,0.39956,1.6815,1.05548,1.2168,0.00160027,0.00160027,0.00160027
4,375.883,1.64059,1.09733,1.22088,0.87705,0.82982,0.88728,0.43961,1.63447,1.01537,1.21039,0.00156798,0.00156798,0.00156798
5,468.085,1.60996,1.04612,1.20464,0.91398,0.83977,0.89772,0.4616,1.60903,0.95505,1.19686,0.00153497,0.00153497,0.00153497
6,559.369,1.58924,1.00171,1.19369,0.88953,0.83784,0.88937,0.44431,1.63227,0.96668,1.20945,0.00150197,0.00150197,0.00150197
7,652.69,1.57951,0.96287,1.18879,0.88595,0.84832,0.89723,0.45763,1.5816,0.95253,1.19004,0.00146896,0.00146896,0.00146896
8,741.745,1.56442,0.9464,1.18111,0.92297,0.87282,0.91876,0.48274,1.57952,0.87754,1.19151,0.00143595,0.00143595,0.00143595
9,835.175,1.55675,0.93922,1.17525,0.92181,0.88843,0.91931,0.47796,1.54476,0.88231,1.17545,0.00140295,0.00140295,0.00140295
10,927.919,1.55341,0.91959,1.17314,0.92579,0.88103,0.92176,0.47967,1.58749,0.85379,1.17944,0.00136994,0.00136994,0.00136994
11,1017.46,1.52656,0.89487,1.16264,0.91404,0.89024,0.92546,0.49148,1.56179,0.8405,1.17264,0.00133693,0.00133693,0.00133693
12,1107.5,1.51505,0.86562,1.15232,0.91363,0.88469,0.92507,0.47257,1.61442,0.85767,1.20461,0.00130393,0.00130393,0.00130393
13,1197.87,1.5,0.85092,1.15207,0.9227,0.89172,0.91806,0.47518,1.55662,0.85163,1.16197,0.00127092,0.00127092,0.00127092
14,1291.12,1.5029,0.85208,1.14841,0.89856,0.89734,0.91783,0.48648,1.56589,0.84223,1.1637,0.00123791,0.00123791,0.00123791
15,1385.97,1.48053,0.8419,1.13767,0.92504,0.89238,0.92539,0.48617,1.58817,0.83455,1.17913,0.00120491,0.00120491,0.00120491
16,1474.69,1.48078,0.82215,1.13437,0.93052,0.90757,0.93119,0.49359,1.56933,0.83747,1.17195,0.0011719,0.0011719,0.0011719
17,1563.92,1.47371,0.81524,1.13637,0.92872,0.88312,0.92421,0.49917,1.56406,0.81215,1.1686,0.00113889,0.00113889,0.00113889
18,1653.29,1.46443,0.81234,1.12627,0.92869,0.90469,0.93486,0.50621,1.52733,0.802,1.15485,0.00110589,0.00110589,0.00110589
19,1741.94,1.45713,0.79604,1.1262,0.92054,0.90835,0.92361,0.49251,1.56853,0.79867,1.1667,0.00107288,0.00107288,0.00107288
20,1829.9,1.45433,0.79614,1.12226,0.9275,0.91024,0.93121,0.50724,1.54116,0.75934,1.16051,0.00103987,0.00103987,0.00103987
21,1918.4,1.44321,0.78135,1.11961,0.93249,0.90145,0.93284,0.49623,1.56701,0.77095,1.16401,0.00100687,0.00100687,0.00100687
22,2006.44,1.44048,0.77098,1.11719,0.93047,0.91816,0.93809,0.50209,1.5406,0.77873,1.1574,0.000973861,0.000973861,0.000973861
23,2095.19,1.42718,0.76317,1.11256,0.93616,0.91552,0.9399,0.50529,1.5448,0.75334,1.16461,0.000940855,0.000940855,0.000940855
24,2184.41,1.4248,0.75332,1.11041,0.9382,0.90321,0.92895,0.50127,1.55254,0.77087,1.16383,0.000907848,0.000907848,0.000907848
25,2274.65,1.41842,0.74854,1.10845,0.93874,0.90176,0.93312,0.50988,1.54805,0.76182,1.15876,0.000874842,0.000874842,0.000874842
26,2364.12,1.40288,0.73479,1.10125,0.93537,0.9185,0.93836,0.5054,1.53935,0.75678,1.15895,0.000841835,0.000841835,0.000841835
27,2453.72,1.41033,0.73705,1.10342,0.94248,0.89512,0.93661,0.50557,1.56759,0.76432,1.16852,0.000808828,0.000808828,0.000808828
28,2545.24,1.40051,0.72519,1.10288,0.93606,0.91558,0.94111,0.51149,1.53096,0.74231,1.15692,0.000775822,0.000775822,0.000775822
29,2638.32,1.38023,0.71115,1.09509,0.93385,0.90814,0.93123,0.50362,1.55381,0.74281,1.16153,0.000742815,0.000742815,0.000742815
30,2732.12,1.36215,0.70626,1.08755,0.92646,0.91041,0.92622,0.50539,1.54164,0.7573,1.15888,0.000709809,0.000709809,0.000709809
31,2826.52,1.36637,0.69401,1.08647,0.92376,0.9154,0.93523,0.50973,1.53973,0.74341,1.158,0.000676802,0.000676802,0.000676802
32,2918.14,1.36338,0.69373,1.08985,0.93322,0.91245,0.93284,0.50851,1.54775,0.74809,1.16189,0.000643795,0.000643795,0.000643795
33,3007.76,1.35693,0.68604,1.07885,0.93698,0.91425,0.93346,0.50587,1.54596,0.75078,1.15317,0.000610789,0.000610789,0.000610789
34,3097.88,1.34216,0.67369,1.07666,0.93367,0.91562,0.93181,0.50471,1.56774,0.73046,1.17017,0.000577782,0.000577782,0.000577782
