epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,323.367,1.78306,4.14475,0.00786,0.50968,0.43618,0.41718,0.19228,1.71533,2.20058,0.01206,0.00998542,0.00332847,0.00998542,0.00332847,0.00998542,0.00332847,0.00998542,0.00332847
2,573.325,1.7947,2.05395,0.00813,0.54816,0.5283,0.5033,0.23352,1.85663,1.8749,0.01429,0.0197876,0.00659586,0.0197876,0.00659586,0.0197876,0.00659586,0.0197876,0.00659586
3,801.12,1.83946,1.79178,0.00873,0.54904,0.4599,0.46761,0.20338,1.98847,2.1343,0.01587,0.0293917,0.00979724,0.0293917,0.00979724,0.0293917,0.00979724,0.0293917,0.00979724
4,1025.54,1.88364,1.74039,0.00893,0.60984,0.51521,0.55088,0.25116,1.92025,1.84489,0.01503,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1273.83,1.86337,1.62607,0.00887,0.63466,0.52567,0.56374,0.26483,1.88407,1.79644,0.0145,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1534.32,1.85518,1.52753,0.00866,0.65599,0.55716,0.60311,0.27642,1.87435,1.68018,0.01424,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1802.34,1.83676,1.47597,0.00876,0.64417,0.56211,0.60675,0.29301,1.83891,1.66066,0.01423,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2048.6,1.83124,1.43852,0.0087,0.70269,0.59136,0.64977,0.30729,1.84637,1.52422,0.01392,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2291.78,1.8128,1.38037,0.00862,0.67092,0.58424,0.62348,0.29429,1.88357,1.5286,0.01499,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2534.28,1.81534,1.35379,0.00851,0.72785,0.60704,0.68193,0.33348,1.81994,1.38183,0.0141,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2777.34,1.80724,1.3168,0.00853,0.71102,0.64094,0.68599,0.33389,1.83375,1.36623,0.01426,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3026.25,1.78521,1.27504,0.00835,0.7138,0.64375,0.69231,0.3303,1.85192,1.33408,0.01426,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
